case number,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,What was the length of the tenancy,What was the monthly rent?,rental deposit amount,was there an rent increases,What was the total amount of arrears?,Over how many months did the arrears accumulate?,Does the tenant made a payment on the arrears after the eviction notice,"Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any?",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan,L1 present?,L2 present?,L3 present?,L4 present?,L8 present?,L9 present?,N5 present?,N6 present?,N7 present?,N8 present?,T1 present?,T2 present?,T3 present?,T5 present?,T6 present?
CEL-73985-18,david mungovan,Mississauga,0,1,0,1,0,0,No relief,15.0,650.0,500.0,0,1300.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CEL-74056-18,avril cardoso,Mississauga,0,1,0,1,0,0,No relief,6.5,1756.5,1750.0,0,7382.5,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-87330-18,shelby whittick,Toronto,1,1,0,1,0,0,No relief,59.0,1595.9445741324917,1300.0,0,5640.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-87339-18,ruth carey,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1447.52,0,333.55,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-90549-19,shelby whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.0,2100.0,0,10500.0,6.0,0,0,0,1,1,-1,1,-1,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-64556-17-RV,karen wallace,Mississauga,0,1,0,1,0,0,No relief,27.0,650.0,650.0,0,4730.0,9.0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-64707-17,tiisetso russell,Mississauga,0,1,0,1,0,0,No relief,6.306049004594181,700.0,1365.9816966067865,0,2800.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-95328-17,egya sangmuah,Toronto,1,0,1,1,0,0,Relief,6.306049004594181,1595.9445741324917,1008.86,0,2066.27,6.306049004594181,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNL-95937-17,dale whitmore,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1111.8,0,1110.39,9.0,1,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TNL-99287-17,neil kaufman,Toronto,1,1,1,1,0,0,Relief,468.0,980.0,1365.9816966067865,0,0.0,16.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SWL-16867-18,kevin lundy,London,0,1,0,0,0,0,No relief,6.306049004594181,900.0,900.0,0,1700.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-16931-18,carol mcdermott,London,0,0,0,0,0,0,No relief,6.306049004594181,1065.75,1050.0,0,1827.25,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-17141-18,melanie love,London,0,1,0,1,0,0,Relief,32.0,925.0,1365.9816966067865,0,3000.0,6.306049004594181,0,1,0,0,1,-1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-17145-18,melanie love,Waterloo,0,1,0,1,0,0,Relief,6.306049004594181,500.0,1365.9816966067865,0,3500.0,7.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWL-17145-18,melanie love,Waterloo,0,1,0,1,0,0,Relief,6.306049004594181,500.0,1365.9816966067865,0,3413.68,7.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SWL-17348-18,kevin lundy,London,1,0,0,0,0,0,No relief,6.306049004594181,869.49,854.57,0,1073.61,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
